player,player_id,team,nationality,pos,overall,market_value,transfer_open,pace_score,shoot_score,pass_score,dribble_score,defense_score,physic_score,goals,xg_total,assists,key_passes,passes_total,pass_completion,dribbles_total,dribbles_won,pressures,progressive_passes,formations,best_formation,strengths,weaknesses,systems,competitions
Clément Lenglet,6826.0,Barcelona,EU,CB,90,400-650M€,72,76,42,95,57,89,99,0.0,0.16972353,0.0,0.0,398.0,0.9271356783919598,3.0,1.0,62.0,166.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives']","['Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['La Liga 2020/21']
Nuno Mendes,41092.0,Paris Saint-Germain,FR,LB,89,370-610M€,12,90,69,85,84,98,80,1.0,1.1586964,0.0,0.0,321.0,0.8940809968847352,22.0,11.0,74.0,104.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Précision passe']","['Régularité', 'Expérience top niveau']","['Piston offensif', 'Débordement', 'Centres']",['Ligue 1 2022/23']
Robert Andrich,9195.0,Bayer Leverkusen,DE,CDM,89,370-610M€,74,90,60,94,80,94,99,2.0,0.929882167,0.0,0.0,475.0,0.9031578947368422,9.0,6.0,68.0,157.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Précision passe']","['Régularité', 'Expérience top niveau']","['Double pivot', 'Récupération', 'Bloc bas']",['Bundesliga 2023/24']
Sergio Busquets i Burgos,5203.0,Barcelona,EU,CDM,88,350-570M€,46,79,40,95,79,99,99,0.0,0.0,0.0,0.0,500.0,0.916,4.0,4.0,84.0,154.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives', 'Dribble réussi']",['Finition'],"['Double pivot', 'Récupération', 'Bloc bas']",['La Liga 2020/21']
Marco Verratti,3166.0,Paris Saint-Germain,FR,CDM,87,200-320M€,6,81,48,94,69,99,99,0.0,0.205030106,0.0,0.0,524.0,0.900763358778626,5.0,3.0,132.0,150.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Pressing intense', 'Vitesse', 'Précision passe', 'Passes progressives']",['Finition'],"['Double pivot', 'Récupération', 'Bloc bas']",['Ligue 1 2022/23']
Edmond Fayçal Tapsoba,30606.0,Bayer Leverkusen,DE,CB,87,200-320M€,45,76,43,95,66,80,99,0.0,0.24447009,0.0,0.0,424.0,0.9127358490566038,3.0,2.0,50.0,151.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives']",['Finition'],"['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['Bundesliga 2023/24']
Jordi Alba Ramos,5211.0,Barcelona,EU,LB,86,180-300M€,63,74,57,89,57,81,99,1.0,0.567488824,0.0,0.0,450.0,0.8444444444444444,5.0,1.0,52.0,114.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Passes progressives']","['Finition', 'Dribble']","['Piston offensif', 'Débordement', 'Centres']",['La Liga 2020/21']
Pedro González López,30486.0,Barcelona,EU,CM,84,160-260M€,67,76,46,84,73,99,95,0.0,0.169435123,0.0,0.0,309.0,0.8673139158576052,6.0,4.0,109.0,112.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Passes progressives']",['Finition'],"['Box-to-box', 'Pressing collectif', 'Transitions']",['La Liga 2020/21']
Granit Xhaka,3500.0,Bayer Leverkusen,DE,CDM,84,160-260M€,28,72,57,95,72,79,99,2.0,0.764400179,0.0,0.0,514.0,0.9046692607003892,1.0,1.0,49.0,183.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Précision passe', 'Passes progressives']",['Finition'],"['Double pivot', 'Récupération', 'Bloc bas']",['Bundesliga 2023/24']
Vitor Machado Ferreira,34639.0,Paris Saint-Germain,FR,CM,84,160-260M€,26,80,52,87,80,99,84,0.0,0.531410034,0.0,0.0,345.0,0.910144927536232,9.0,6.0,106.0,98.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Précision passe']",['Finition'],"['Box-to-box', 'Pressing collectif', 'Transitions']",['Ligue 1 2022/23']
Danilo Luís Hélio Pereira,13621.0,Paris Saint-Germain,FR,CB,83,150-240M€,28,79,52,96,71,68,99,0.0,0.02164392,0.0,0.0,412.0,0.9368932038834952,4.0,3.0,33.0,167.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Précision passe', 'Passes progressives']",['Finition'],"['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['Ligue 1 2022/23']
Lionel Andrés Messi Cuccittini,5503.0,Paris Saint-Germain,FR,ST,83,150-240M€,29,99,65,90,91,99,99,6.0,4.928233009,0.0,0.0,796.0,0.8128140703517588,76.0,55.0,91.0,246.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Passes progressives']","['Régularité', 'Expérience top niveau']","['Attaque directe', 'Pressing avant', 'Profondeur']",['Ligue 1 2022/23']
Jonathan Tah,8221.0,Bayer Leverkusen,DE,CB,83,150-240M€,12,72,46,97,72,72,99,0.0,0.428481415,0.0,0.0,422.0,0.9478672985781992,1.0,1.0,38.0,164.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Précision passe', 'Passes progressives']",['Finition'],"['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['Bundesliga 2023/24']
Lionel Andrés Messi Cuccittini,5503.0,Barcelona,EU,CAM,83,150-240M€,73,99,65,90,91,99,99,6.0,4.928233009,0.0,0.0,796.0,0.8128140703517588,76.0,55.0,91.0,246.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Passes progressives']","['Régularité', 'Expérience top niveau']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['La Liga 2020/21']
Nuno Mendes,41092.0,Portugal,PT,LB,83,150-240M€,60,90,69,85,84,98,56,1.0,1.1586964,0.0,0.0,321.0,0.8940809968847352,22.0,11.0,74.0,104.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Précision passe']","['Régularité', 'Expérience top niveau']","['Piston offensif', 'Débordement', 'Centres']",['UEFA Euro 2024']
Fabián Ruiz Peña,6655.0,Paris Saint-Germain,FR,CM,83,150-240M€,42,80,60,86,70,99,82,1.0,1.104075862,0.0,0.0,363.0,0.8760330578512396,9.0,3.0,126.0,99.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Vitesse', 'Passes progressives']","['Régularité', 'Expérience top niveau']","['Box-to-box', 'Pressing collectif', 'Transitions']",['Ligue 1 2022/23']
Óscar Mingueza García,43728.0,Barcelona,EU,CB,82,90-150M€,17,69,57,86,63,82,90,1.0,0.533186991,0.0,0.0,312.0,0.9423076923076924,5.0,2.0,54.0,89.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives']",['Finition'],"['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['La Liga 2020/21']
Odilon Kossonou,27133.0,Bayer Leverkusen,DE,CB,82,90-150M€,87,77,40,91,69,73,96,0.0,0.023349753,0.0,0.0,365.0,0.9315068493150684,5.0,3.0,39.0,129.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Précision passe', 'Passes progressives']",['Finition'],"['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['Bundesliga 2023/24']
Lionel Andrés Messi Cuccittini,5503.0,Argentina,AR,ST,81,80-130M€,44,99,65,90,91,99,50,6.0,4.928233009,0.0,0.0,796.0,0.8128140703517588,76.0,55.0,91.0,246.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Passes progressives']","['Régularité', 'Expérience top niveau']","['Attaque directe', 'Pressing avant', 'Profondeur']",['FIFA World Cup 2022']
Warren Zaire Emery,144059.0,Paris Saint-Germain,FR,RWB,80,80-120M€,42,60,42,72,63,98,72,0.0,0.164017046,0.0,0.0,187.0,0.8983957219251337,6.0,2.0,74.0,35.0,"['3-4-3', '3-5-2', '5-3-2']",3-4-3,"['Pressing intense', 'Précision passe', 'Passes progressives']",['Finition'],"['Piston droit', '3 derrière', 'Transitions']",['Ligue 1 2022/23']
Fabián Ruiz Peña,6655.0,Spain,ES,CDM,79,70-110M€,71,80,60,86,70,99,61,1.0,1.104075862,0.0,0.0,363.0,0.8760330578512396,9.0,3.0,126.0,99.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Pressing intense', 'Vitesse', 'Passes progressives']","['Régularité', 'Expérience top niveau']","['Double pivot', 'Récupération', 'Bloc bas']",['UEFA Euro 2024']
Frenkie de Jong,8118.0,Barcelona,EU,CM,79,70-110M€,90,81,45,91,80,64,99,0.0,0.4814225159999999,0.0,0.0,386.0,0.9300518134715026,8.0,6.0,37.0,116.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Passe de qualité', 'Dribble efficace', 'Vitesse', 'Précision passe', 'Passes progressives']",['Finition'],"['Box-to-box', 'Pressing collectif', 'Transitions']",['La Liga 2020/21']
Vitor Machado Ferreira,34639.0,Portugal,PT,CDM,79,70-110M€,67,80,52,87,80,99,56,0.0,0.531410034,0.0,0.0,345.0,0.910144927536232,9.0,6.0,106.0,98.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Précision passe']",['Finition'],"['Double pivot', 'Récupération', 'Bloc bas']",['UEFA Euro 2024']
Piero Martín Hincapié Reyna,38004.0,Bayer Leverkusen,DE,CB,79,70-110M€,89,69,50,87,57,81,79,0.0,0.361262699,0.0,0.0,327.0,0.9051987767584098,3.0,1.0,52.0,114.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives']","['Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['Bundesliga 2023/24']
Kylian Mbappé Lottin,3009.0,Paris Saint-Germain,FR,ST,77,60-90M€,20,83,68,77,83,85,95,6.0,6.134734348,0.0,0.0,302.0,0.8112582781456954,43.0,20.0,68.0,68.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Dribble efficace', 'Pressing intense', 'Vitesse', 'Passes progressives', 'Efficacité but']","['Régularité', 'Expérience top niveau']","['Attaque directe', 'Pressing avant', 'Profondeur']",['Ligue 1 2022/23']
Ousmane Dembélé,5477.0,Barcelona,EU,RW,75,50-80M€,25,85,61,76,87,90,85,1.0,1.683614432,0.0,0.0,304.0,0.7697368421052632,36.0,21.0,76.0,79.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Dribble efficace', 'Pressing intense', 'Vitesse', 'Passes progressives']","['Régularité', 'Expérience top niveau']","['Haute pression', 'Ailier haut', 'Contre-pressing']",['La Liga 2020/21']
Kylian Mbappé Lottin,3009.0,France,FR,LW,75,50-80M€,30,83,68,77,83,85,52,6.0,6.134734348,0.0,0.0,302.0,0.8112582781456954,43.0,20.0,68.0,68.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Dribble efficace', 'Pressing intense', 'Vitesse', 'Passes progressives', 'Efficacité but']","['Régularité', 'Expérience top niveau']","['Haute pression', 'Ailier haut', 'Contre-pressing']",['UEFA Euro 2024']
Achraf Hakimi Mouh,5245.0,Paris Saint-Germain,FR,RWB,75,50-80M€,46,68,65,73,80,80,76,1.0,0.34268507,0.0,0.0,213.0,0.892018779342723,10.0,6.0,50.0,30.0,"['3-4-3', '3-5-2', '5-3-2']",3-4-3,"['Dribble efficace', 'Pressing intense', 'Précision passe', 'Passes progressives']","['Régularité', 'Expérience top niveau']","['Piston droit', '3 derrière', 'Transitions']",['Ligue 1 2022/23']
Florian Wirtz,40724.0,Bayer Leverkusen,DE,CAM,75,50-80M€,41,78,72,71,79,83,79,4.0,2.041546458,0.0,0.0,198.0,0.8484848484848485,13.0,4.0,66.0,45.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,"['Pressing intense', 'Passes progressives', 'Efficacité but']","['Régularité', 'Expérience top niveau']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['Bundesliga 2023/24']
Granit Xhaka,3500.0,Switzerland,CH,CDM,74,40-70M€,11,72,57,95,72,79,47,2.0,0.764400179,0.0,0.0,514.0,0.9046692607003892,1.0,1.0,49.0,183.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Précision passe', 'Passes progressives']",['Finition'],"['Double pivot', 'Récupération', 'Bloc bas']",['FIFA World Cup 2022']
Sergio Ramos García,5201.0,Paris Saint-Germain,FR,CB,74,40-70M€,11,73,82,86,59,66,80,1.0,0.08323985,0.0,0.0,259.0,0.9305019305019304,2.0,1.0,31.0,145.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Finition', 'Précision passe', 'Passes progressives']",['Dribble'],"['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['Ligue 1 2022/23']
Ousmane Dembélé,5477.0,France,FR,RW,74,40-70M€,57,85,61,76,87,90,51,1.0,1.683614432,0.0,0.0,304.0,0.7697368421052632,36.0,21.0,76.0,79.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Dribble efficace', 'Pressing intense', 'Vitesse', 'Passes progressives']","['Régularité', 'Expérience top niveau']","['Haute pression', 'Ailier haut', 'Contre-pressing']",['UEFA Euro 2024']
Marcos Aoás Corrêa,4372.0,Paris Saint-Germain,FR,CB,74,40-70M€,21,62,45,86,40,76,72,0.0,0.461861547,0.0,0.0,277.0,0.9458483754512635,0.0,0.0,45.0,112.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Précision passe', 'Passes progressives']","['Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['Ligue 1 2022/23']
Sergino Dest,21881.0,Barcelona,EU,RB,72,30-50M€,71,66,45,72,77,76,71,0.0,0.139796148,0.0,0.0,194.0,0.8917525773195877,9.0,5.0,44.0,28.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Précision passe', 'Passes progressives']",['Finition'],"['Piston offensif', 'Débordement', 'Centres']",['La Liga 2020/21']
Piero Martín Hincapié Reyna,38004.0,Ecuador,EU,CB,72,30-50M€,11,69,50,87,57,81,51,0.0,0.361262699,0.0,0.0,327.0,0.9051987767584098,3.0,1.0,52.0,114.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives']","['Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['FIFA World Cup 2022']
Nathan Tella,41411.0,Bayer Leverkusen,DE,RWB,70,20-40M€,71,74,48,61,80,78,64,0.0,0.21904598,0.0,0.0,104.0,0.7884615384615384,14.0,5.0,48.0,22.0,"['3-4-3', '3-5-2', '5-3-2']",3-4-3,"['Dribble efficace', 'Passes progressives']","['Jeu de passe', 'Finition']","['Piston droit', '3 derrière', 'Transitions']",['Bundesliga 2023/24']
Exequiel Alejandro Palacios,28268.0,Bayer Leverkusen,DE,CDM,70,20-40M€,39,58,63,69,75,77,64,1.0,1.092921983,0.0,0.0,148.0,0.8851351351351351,5.0,4.0,46.0,37.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Précision passe', 'Passes progressives', 'Dribble réussi']","['Régularité', 'Expérience top niveau']","['Double pivot', 'Récupération', 'Bloc bas']",['Bundesliga 2023/24']
Mathew Leckie,5481.0,Australia,EU,RM,70,20-40M€,16,68,83,52,68,77,60,1.0,0.11353828,0.0,0.0,74.0,0.6486486486486487,11.0,1.0,56.0,17.0,"['4-4-2', '4-2-3-1']",4-4-2,['Finition'],['Jeu de passe'],"['Ailier rentrant', 'Contre-attaque']",['FIFA World Cup 2022']
Bradley Barcola,39420.0,Lyon,EU,ST,69,20-30M€,81,60,78,61,73,85,47,2.0,1.2989070109999998,0.0,0.0,29.0,0.896551724137931,8.0,4.0,68.0,8.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Pressing intense', 'Précision passe']",['Jeu de passe'],"['Attaque directe', 'Pressing avant', 'Profondeur']",['Ligue 1 2022/23']
Luis Jesús Rioja González,24049.0,Deportivo Alavés,EU,LM,69,20-30M€,55,51,92,54,69,47,42,1.0,0.9761923,0.0,0.0,10.0,0.8,5.0,3.0,11.0,1.0,"['4-4-2', '4-2-3-1']",4-4-2,['Finition'],"['Jeu de passe', 'Travail défensif']","['Ailier rentrant', 'Contre-attaque']",['La Liga 2020/21']
Victor Okoh Boniface,32289.0,Bayer Leverkusen,DE,ST,69,20-30M€,32,60,77,58,77,73,57,4.0,3.773921478,0.0,0.0,63.0,0.7936507936507936,8.0,5.0,50.0,8.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,['Efficacité but'],['Jeu de passe'],"['Attaque directe', 'Pressing avant', 'Profondeur']",['Bundesliga 2023/24']
Alejandro Grimaldo García,10336.0,Bayer Leverkusen,DE,LWB,68,20-30M€,47,55,65,74,42,66,78,1.0,1.213766345,0.0,0.0,252.0,0.8055555555555556,1.0,0.0,31.0,65.0,"['3-4-3', '3-5-2', '5-3-2']",3-4-3,['Passes progressives'],['Dribble'],"['Piston gauche', '3 derrière', 'Transitions']",['Bundesliga 2023/24']
Bradley Barcola,39420.0,France,FR,LW,68,20-30M€,24,60,78,61,73,85,42,2.0,1.2989070109999998,0.0,0.0,29.0,0.896551724137931,8.0,4.0,68.0,8.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Pressing intense', 'Précision passe']",['Jeu de passe'],"['Haute pression', 'Ailier haut', 'Contre-pressing']",['UEFA Euro 2024']
Marcos Aoás Corrêa,4372.0,Brazil,BR,CB,68,20-30M€,26,62,45,86,40,76,48,0.0,0.461861547,0.0,0.0,277.0,0.9458483754512635,0.0,0.0,45.0,112.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Précision passe', 'Passes progressives']","['Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['FIFA World Cup 2022']
Stefan de Vrij,7787.0,Netherlands,NL,CB,67,20-20M€,71,63,82,79,42,62,69,1.0,0.061265625,0.0,0.0,202.0,0.9108910891089108,1.0,0.0,25.0,108.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Finition', 'Précision passe', 'Passes progressives']",['Dribble'],"['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['UEFA Euro 2024']
Amine Adli,33401.0,Bayer Leverkusen,DE,CAM,66,10-20M€,24,58,68,65,73,79,66,1.0,1.567502763,0.0,0.0,129.0,0.8294573643410853,6.0,4.0,60.0,25.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,['Passes progressives'],"['Régularité', 'Expérience top niveau']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['Bundesliga 2023/24']
El Chadaille Bitshiabu,132019.0,Paris Saint-Germain,FR,CB,66,10-20M€,40,56,40,77,40,64,67,0.0,0.0,0.0,0.0,179.0,0.9217877094972068,0.0,0.0,28.0,84.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Précision passe', 'Passes progressives']","['Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['Ligue 1 2022/23']
Antoine Griezmann,5487.0,Barcelona,EU,ST,65,10-20M€,27,61,68,79,56,99,81,3.0,1.514351013,0.0,0.0,267.0,0.902621722846442,4.0,1.0,90.0,59.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Pressing intense', 'Précision passe', 'Passes progressives', 'Efficacité but']",['Dribble'],"['Attaque directe', 'Pressing avant', 'Profondeur']",['La Liga 2020/21']
Jeremie Frimpong,32712.0,Bayer Leverkusen,DE,RWB,65,10-20M€,66,73,60,61,82,69,60,1.0,1.17794793,0.0,0.0,102.0,0.7941176470588235,14.0,6.0,35.0,21.0,"['3-4-3', '3-5-2', '5-3-2']",3-4-3,"['Dribble efficace', 'Passes progressives']",['Jeu de passe'],"['Piston droit', '3 derrière', 'Transitions']",['Bundesliga 2023/24']
Renato Júnior Luz Sanches,3593.0,Paris Saint-Germain,FR,CM,65,10-20M€,35,65,44,71,73,63,65,0.0,0.133169645,0.0,0.0,140.0,0.8928571428571429,6.0,4.0,35.0,58.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Précision passe', 'Passes progressives']",['Finition'],"['Box-to-box', 'Pressing collectif', 'Transitions']",['Ligue 1 2022/23']
Aziz Eraltay Behich,5479.0,Australia,EU,LB,64,8-10M€,45,74,41,63,86,64,61,0.0,0.126898918,0.0,0.0,138.0,0.717391304347826,10.0,8.0,27.0,59.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Dribble efficace', 'Passes progressives', 'Dribble réussi']","['Jeu de passe', 'Finition']","['Piston offensif', 'Débordement', 'Centres']",['FIFA World Cup 2022']
Ricard Puig Martí,24841.0,Barcelona,EU,CM,64,8-10M€,60,60,40,69,78,66,60,0.0,0.0,0.0,0.0,120.0,0.925,6.0,5.0,39.0,31.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Précision passe', 'Passes progressives', 'Dribble réussi']",['Finition'],"['Box-to-box', 'Pressing collectif', 'Transitions']",['La Liga 2020/21']
Antoine Griezmann,5487.0,France,FR,CAM,64,8-10M€,13,61,68,79,56,99,47,3.0,1.514351013,0.0,0.0,267.0,0.902621722846442,4.0,1.0,90.0,59.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,"['Pressing intense', 'Précision passe', 'Passes progressives', 'Efficacité but']",['Dribble'],"['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['UEFA Euro 2024']
Johann Lepenant,45975.0,Lyon,EU,CDM,63,6-10M€,78,43,40,64,72,80,47,0.0,0.0,0.0,0.0,27.0,0.9629629629629628,1.0,1.0,51.0,6.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Pressing intense', 'Précision passe']","['Jeu de passe', 'Finition']","['Double pivot', 'Récupération', 'Bloc bas']",['Ligue 1 2022/23']
Breel-Donald Embolo,5545.0,Switzerland,CH,ST,63,6-10M€,71,43,75,56,72,47,45,1.0,1.74503562,0.0,0.0,17.0,0.8235294117647058,1.0,1.0,10.0,3.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif']","['Attaque directe', 'Pressing avant', 'Profondeur']",['FIFA World Cup 2022']
Moriba Kourouma Kourouma,39073.0,Barcelona,EU,CM,63,6-10M€,64,56,54,66,75,62,56,1.0,0.428374893,0.0,0.0,84.0,0.9166666666666666,5.0,4.0,34.0,26.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Précision passe', 'Passes progressives', 'Dribble réussi']",['Finition'],"['Box-to-box', 'Pressing collectif', 'Transitions']",['La Liga 2020/21']
Exequiel Alejandro Palacios,28268.0,Argentina,AR,CM,63,6-10M€,93,58,63,69,75,70,40,1.0,1.092921983,0.0,0.0,148.0,0.8851351351351351,5.0,4.0,46.0,37.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Précision passe', 'Passes progressives', 'Dribble réussi']","['Régularité', 'Expérience top niveau']","['Box-to-box', 'Pressing collectif', 'Transitions']",['FIFA World Cup 2022']
Jonas Hofmann,8804.0,Bayer Leverkusen,DE,CAM,63,6-10M€,18,59,60,72,66,99,76,0.0,1.466844752,0.0,0.0,198.0,0.8383838383838383,3.0,2.0,110.0,65.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,"['Pressing intense', 'Passes progressives']","['Régularité', 'Expérience top niveau']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['Bundesliga 2023/24']
Virgil van Dijk,3669.0,Netherlands,NL,CB,63,6-10M€,62,57,48,78,40,57,67,0.0,0.22237136,0.0,0.0,203.0,0.9211822660098522,0.0,0.0,19.0,89.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Précision passe', 'Passes progressives']","['Travail défensif', 'Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['UEFA Euro 2024']
Kye Rowles,33495.0,Australia,EU,CB,62,4-9M€,36,55,40,69,40,66,58,0.0,0.0,0.0,0.0,134.0,0.8283582089552238,0.0,0.0,31.0,79.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,['Passes progressives'],"['Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['FIFA World Cup 2022']
Jerdy Schouten,15503.0,Netherlands,NL,CDM,62,4-9M€,20,53,41,74,40,70,65,0.0,0.07204104,0.0,0.0,168.0,0.9166666666666666,0.0,0.0,37.0,65.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Précision passe', 'Passes progressives']","['Finition', 'Dribble']","['Double pivot', 'Récupération', 'Bloc bas']",['UEFA Euro 2024']
Miralem Pjanić,6947.0,Barcelona,EU,CM,62,4-9M€,17,55,46,75,59,49,69,0.0,0.1578819779999999,0.0,0.0,205.0,0.9170731707317074,2.0,1.0,14.0,54.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Précision passe', 'Passes progressives']","['Travail défensif', 'Finition', 'Dribble']","['Box-to-box', 'Pressing collectif', 'Transitions']",['La Liga 2020/21']
Declan Rice,3943.0,England,EN,CDM,61,3-8M€,74,57,46,69,66,58,61,0.0,0.212219465,0.0,0.0,137.0,0.8759124087591241,3.0,2.0,20.0,50.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,['Passes progressives'],"['Travail défensif', 'Finition']","['Double pivot', 'Récupération', 'Bloc bas']",['UEFA Euro 2024']
Juan Bernat Velasco,15651.0,Paris Saint-Germain,FR,LWB,61,3-8M€,32,53,52,69,57,62,60,0.0,0.032258585,0.0,0.0,137.0,0.9051094890510948,3.0,1.0,25.0,32.0,"['3-4-3', '3-5-2', '5-3-2']",3-4-3,"['Précision passe', 'Passes progressives']","['Finition', 'Dribble']","['Piston gauche', '3 derrière', 'Transitions']",['Ligue 1 2022/23']
Jackson Irvine,5490.0,Australia,EU,CDM,61,3-8M€,49,49,43,63,45,82,56,0.0,0.2488522799999999,0.0,0.0,94.0,0.8404255319148937,2.0,0.0,53.0,26.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Pressing intense', 'Passes progressives']","['Jeu de passe', 'Finition', 'Dribble']","['Double pivot', 'Récupération', 'Bloc bas']",['FIFA World Cup 2022']
