player,player_id,team,nationality,pos,overall,market_value,transfer_open,pace_score,shoot_score,pass_score,dribble_score,defense_score,physic_score,goals,xg_total,assists,key_passes,passes_total,pass_completion,dribbles_total,dribbles_won,pressures,progressive_passes,formations,best_formation,strengths,weaknesses,systems,competitions
Florian Grillitsch,11396.0,Austria,AT,CDM,55,1-6M€,33,46,46,65,40,61,44,0.0,0.14751384,0.0,0.0,74.0,0.8918918918918919,0.0,0.0,23.0,29.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Précision passe', 'Passes progressives']","['Finition', 'Dribble']","['Double pivot', 'Récupération', 'Bloc bas']",['UEFA Euro 2024']
Thomas Mangani,3185.0,AC Ajaccio,EU,CDM,55,1-6M€,18,43,40,58,40,65,45,0.0,0.028438749,0.0,0.0,29.0,0.8275862068965517,0.0,0.0,29.0,16.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Finition', 'Dribble']","['Double pivot', 'Récupération', 'Bloc bas']",['Ligue 1 2022/23']
Thibaut Courtois,3509.0,Real Madrid,ES,GK,55,1-6M€,42,43,40,49,40,44,43,0.0,0.0,0.0,0.0,27.0,0.6296296296296297,0.0,0.0,0.0,17.0,"['4-3-3', '4-4-2', '3-5-2']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Relance au pied', 'Distribution longue']",['La Liga 2020/21']
Thiago Emiliano da Silva,3295.0,Brazil,BR,CB,55,1-6M€,70,48,41,69,40,48,49,0.0,0.06673048,0.0,0.0,72.0,0.9583333333333334,0.0,0.0,6.0,41.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Précision passe', 'Passes progressives']","['Travail défensif', 'Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['FIFA World Cup 2022']
Alberto Soro Álvarez,24037.0,Granada,EU,CM,55,1-6M€,11,41,40,54,40,43,40,0.0,0.0,0.0,0.0,9.0,0.7777777777777778,0.0,0.0,4.0,4.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Box-to-box', 'Pressing collectif', 'Transitions']",['La Liga 2020/21']
Éder Gabriel Militão,13620.0,Real Madrid,ES,CB,55,1-6M€,46,44,42,57,42,53,43,0.0,0.1361084,0.0,0.0,22.0,0.8181818181818182,1.0,0.0,12.0,9.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['La Liga 2020/21']
Ángel Montoro Sánchez,24144.0,Granada,EU,CAM,55,1-6M€,47,42,40,59,40,41,41,0.0,0.0,0.0,0.0,23.0,0.8695652173913043,0.0,0.0,2.0,10.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['La Liga 2020/21']
Álvaro Odriozola Arzallus,6689.0,Real Madrid,ES,RB,55,1-6M€,23,43,40,49,72,51,42,0.0,0.0,0.0,0.0,21.0,0.6666666666666666,1.0,1.0,9.0,5.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Piston offensif', 'Débordement', 'Centres']",['La Liga 2020/21']
Álvaro Borja Morata Martín,3477.0,Spain,ES,ST,55,1-6M€,38,43,44,53,42,73,49,0.0,0.34675487,0.0,0.0,31.0,0.7419354838709677,1.0,0.0,50.0,3.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Finition', 'Dribble']","['Attaque directe', 'Pressing avant', 'Profondeur']",['UEFA Euro 2024']
Youssouf Sabaly,3404.0,Senegal,SN,RB,55,1-6M€,14,48,40,59,59,50,44,0.0,0.0,0.0,0.0,32.0,0.84375,2.0,1.0,8.0,16.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Piston offensif', 'Débordement', 'Centres']",['FIFA World Cup 2022']
Youssouf Fofana,11990.0,France,FR,CM,55,1-6M€,75,41,90,59,40,46,41,1.0,0.7835,0.0,0.0,17.0,0.8823529411764706,0.0,0.0,9.0,6.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Finition', 'Précision passe']","['Jeu de passe', 'Travail défensif', 'Dribble']","['Box-to-box', 'Pressing collectif', 'Transitions']",['UEFA Euro 2024']
Tomás Pina Isla,6622.0,Deportivo Alavés,EU,CM,55,1-6M€,25,40,40,51,40,56,43,0.0,0.0,0.0,0.0,18.0,0.7222222222222222,0.0,0.0,25.0,3.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Box-to-box', 'Pressing collectif', 'Transitions']",['La Liga 2020/21']
Adrien Rabiot,3026.0,France,FR,CM,55,1-6M€,84,46,40,60,74,46,43,0.0,0.0,0.0,0.0,25.0,0.88,2.0,2.0,9.0,8.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Précision passe', 'Dribble réussi']","['Jeu de passe', 'Travail défensif', 'Finition']","['Box-to-box', 'Pressing collectif', 'Transitions']",['UEFA Euro 2024']
Elbasan Rashani,29786.0,Clermont Foot,EU,CAM,55,1-6M€,68,43,50,48,72,64,46,0.0,0.332564995,0.0,0.0,27.0,0.6296296296296297,1.0,1.0,37.0,6.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Finition']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['Ligue 1 2022/23']
Stefan Posch,11821.0,Austria,AT,RB,55,1-6M€,26,48,40,53,59,54,46,0.0,0.0,0.0,0.0,43.0,0.6976744186046512,2.0,1.0,13.0,18.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Piston offensif', 'Débordement', 'Centres']",['UEFA Euro 2024']
Adam Hložek,28239.0,Bayer Leverkusen,DE,CAM,55,1-6M€,84,44,40,64,42,50,46,0.0,0.017574478,0.0,0.0,29.0,0.9655172413793104,1.0,0.0,16.0,8.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['Bundesliga 2023/24']
Amin Sarr,42754.0,Lyon,EU,ST,55,1-6M€,89,40,40,48,40,43,40,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.0,0.0,5.0,0.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Attaque directe', 'Pressing avant', 'Profondeur']",['Ligue 1 2022/23']
Aïssa Bilal Laïdouni,44955.0,Tunisia,EU,CDM,55,1-6M€,13,43,40,59,40,59,44,0.0,0.0,0.0,0.0,49.0,0.8163265306122449,0.0,0.0,21.0,15.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Double pivot', 'Récupération', 'Bloc bas']",['FIFA World Cup 2022']
