player,player_id,team,nationality,pos,overall,market_value,transfer_open,pace_score,shoot_score,pass_score,dribble_score,defense_score,physic_score,goals,xg_total,assists,key_passes,passes_total,pass_completion,dribbles_total,dribbles_won,pressures,progressive_passes,formations,best_formation,strengths,weaknesses,systems,competitions
Miha Blažič,31894.0,Angers,EU,CB,55,1-6M€,56,43,40,61,40,45,43,0.0,0.0,0,0,33.0,0.9090909090909091,0.0,0.0,2.0,20.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Précision passe', 'Passes progressives']","['Jeu de passe', 'Travail défensif', 'Finition']","['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['Ligue 1 2022/23']
Maximilian Wittek,8924.0,Bochum,EU,LWB,55,1-6M€,65,41,40,51,40,52,42,0.0,0.0,0,0,18.0,0.7222222222222222,0.0,0.0,14.0,8.0,"['3-4-3', '3-5-2', '5-3-2']",3-4-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Piston gauche', '3 derrière', 'Transitions']",['Bundesliga 2023/24']
Maximilian Wöber,8068.0,Austria,AT,CB,55,1-6M€,42,43,40,61,40,50,44,0.0,0.0,0,0,40.0,0.9,0.0,0.0,9.0,20.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Précision passe', 'Passes progressives']","['Jeu de passe', 'Travail défensif', 'Finition']","['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['UEFA Euro 2024']
Maximiliano Caufriez,23682.0,Clermont Foot,EU,CB,55,1-6M€,47,42,40,63,40,53,46,0.0,0.0,0,0,55.0,0.9272727272727272,0.0,0.0,16.0,12.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['Ligue 1 2022/23']
Miguel Ángel Navarro Zárate,36520.0,Venezuela,EU,LB,55,1-6M€,27,46,41,56,42,53,45,0.0,0.07980639,0,1,54.0,0.7592592592592593,1.0,0.0,16.0,31.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,['Passes progressives'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Piston offensif', 'Débordement', 'Centres']",['Copa America 2024']
Okay Yokuşlu,12555.0,Turkey,TR,CDM,55,1-6M€,62,40,40,59,40,46,40,0.0,0.0,0,0,9.0,0.8888888888888888,0.0,0.0,3.0,3.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Double pivot', 'Récupération', 'Bloc bas']",['UEFA Euro 2024']
Miguel Ángel Borja Hernández,6333.0,Colombia,EU,ST,55,1-6M€,66,43,68,40,43,42,40,1.0,0.8428018899999999,0,0,4.0,0.5,2.0,0.0,3.0,0.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Dribble']","['Attaque directe', 'Pressing avant', 'Profondeur']",['Copa America 2024']
Miguel Baeza Pérez,39598.0,Celta Vigo,EU,RW,55,1-6M€,29,42,41,58,42,47,42,0.0,0.168440385,0,1,16.0,0.875,1.0,0.0,13.0,3.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Haute pression', 'Ailier haut', 'Contre-pressing']",['La Liga 2020/21']
Montassar Omar Talbi,32450.0,Tunisia,EU,CB,55,1-6M€,45,46,52,62,71,50,46,0.0,0.012159805,0,0,58.0,0.896551724137931,1.0,1.0,9.0,28.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Précision passe', 'Passes progressives']","['Jeu de passe', 'Travail défensif', 'Finition']","['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['FIFA World Cup 2022']
Matúš Bero,15546.0,Bochum,EU,CM,55,1-6M€,70,40,41,49,40,42,41,0.0,0.15157913,0,0,13.0,0.6923076923076923,0.0,0.0,4.0,1.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Box-to-box', 'Pressing collectif', 'Transitions']",['Bundesliga 2023/24']
